"Time","condition","n","mean","median","sd","sem","mean_CI_lo","mean_CI_hi"
140.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.720289855072464,0.69,0.216652140637072,0.026081852773452,0.668244328188913,0.772335381956015
145.36,"2018-10-30_PC3_WT-TG",38,0.494210526315789,0.49,0.0310737204469984,0.00504082309073212,0.483996848561885,0.504424204069694
145.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.775072463768116,0.73,0.262357093808766,0.0315840825512715,0.712047408309338,0.838097519226894
150.36,"2018-10-30_PC3_WT-TG",38,0.480526315789474,0.48,0.0274055989960084,0.00444577521607228,0.471518319554346,0.489534312024601
150.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.787101449275362,0.73,0.272737222428235,0.0328337031902663,0.721582814655397,0.852620083895328
155.36,"2018-10-30_PC3_WT-TG",38,0.519210526315789,0.515,0.0356697751489264,0.00578640161607359,0.507486162973242,0.530934889658337
155.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.836521739130435,0.78,0.263989895567305,0.0317806487838932,0.773104441861492,0.899939036399377
160.36,"2018-10-30_PC3_WT-TG",38,0.492105263157895,0.485,0.0315507223318042,0.00511820301436736,0.481734798785931,0.502475727529859
160.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.806811594202898,0.77,0.24330139112307,0.0292900455273052,0.748364218352995,0.865258970052802
165.36,"2018-10-30_PC3_WT-TG",38,0.522368421052632,0.52,0.0435228557865626,0.00706033951736541,0.508062814336119,0.536674027769144
165.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.845652173913043,0.82,0.246269091591182,0.0296473146798618,0.786491878569055,0.904812469257032
170.36,"2018-10-30_PC3_WT-TG",38,0.542631578947368,0.545,0.053961157728365,0.00875365569255661,0.524894987759158,0.560368170135578
170.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.845507246376812,0.82,0.234091084785665,0.0281812549416955,0.789272427691955,0.901742065061669
175.36,"2018-10-30_PC3_WT-TG",38,0.737368421052632,0.7,0.166062251605385,0.0269388544515999,0.682785117200162,0.791951724905101
175.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.877826086956522,0.85,0.243967630237252,0.0293702512914251,0.819218662996196,0.936433510916848
180.36,"2018-10-30_PC3_WT-TG",38,0.67578947368421,0.665,0.121713699931712,0.0197445693740055,0.635783176032845,0.715795771335576
180.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.841884057971015,0.83,0.223812390987991,0.026943845620255,0.788118451142554,0.895649664799475
185.36,"2018-10-30_PC3_WT-TG",38,0.770526315789474,0.75,0.182133710438105,0.0295459893430883,0.71066045486977,0.830392176709178
185.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.883333333333333,0.85,0.244327809369651,0.0294136117635426,0.824639384898045,0.942027281768622
190.36,"2018-10-30_PC3_WT-TG",38,0.842894736842105,0.84,0.207024060420938,0.0335837372897454,0.774847621465274,0.910941852218937
190.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.844347826086957,0.8,0.227198269598252,0.0273514575051961,0.789768842406014,0.898926809767899
195.36,"2018-10-30_PC3_WT-TG",38,0.816315789473684,0.78,0.178180307290443,0.0289046626661716,0.757749379833088,0.87488219911428
195.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.846086956521739,0.81,0.230856572428095,0.0277918654122128,0.790629152545189,0.90154476049829
200.36,"2018-10-30_PC3_WT-TG",38,0.734473684210526,0.735,0.145299269327622,0.0235706539595883,0.686715002808941,0.782232365612111
200.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.875072463768116,0.81,0.243911888553355,0.0293635407812567,0.816478430422345,0.933666497113887
205.36,"2018-10-30_PC3_WT-TG",38,0.932105263157895,0.89,0.227692987876894,0.0369366800748992,0.857264440380817,1.00694608593497
205.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.811739130434783,0.77,0.224682498348088,0.0270485942370765,0.757764500995844,0.865713759873721
210.36,"2018-10-30_PC3_WT-TG",38,0.863947368421053,0.835,0.180278155557644,0.0292449785933936,0.804691413213671,0.923203323628434
210.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.817101449275362,0.77,0.219190364813968,0.0263874190563105,0.764446174367875,0.86975672418285
215.36,"2018-10-30_PC3_WT-TG",38,0.848947368421053,0.815,0.18781516897096,0.0304676436203835,0.787214058551175,0.910680678290931
215.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.827246376811594,0.77,0.218375580796366,0.0262893305872708,0.774786834396607,0.879705919226581
220.36,"2018-10-30_PC3_WT-TG",38,0.97,0.9,0.237600618799813,0.0385439100432542,0.891902619974686,1.04809738002531
220.53,"2018-10-30_PC3+ORAI1mCh-TG",69,0.801304347826087,0.75,0.216563487794052,0.0260711802253165,0.74928011768076,0.853328577971414
225.36,"2018-10-30_PC3_WT-TG",38,0.871842105263158,0.82,0.19834252740961,0.0321754066670541,0.806648538779476,0.93703567174684
