"condition","Time","Sample","Value"
"2018-10-30_PC3_WT-TG",818,"R18_R1",0.42
"2018-10-30_PC3_WT-TG",818,"R19_R1",0.41
"2018-10-30_PC3_WT-TG",818,"R20_R1",0.42
"2018-10-30_PC3_WT-TG",818,"R21_R1",0.4
"2018-10-30_PC3_WT-TG",818,"R22_R1",0.43
"2018-10-30_PC3_WT-TG",818,"R23_R1",0.43
"2018-10-30_PC3_WT-TG",818,"R24_R1",0.42
"2018-10-30_PC3_WT-TG",818,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",818,"R26_R1",0.45
"2018-10-30_PC3_WT-TG",818,"R27_R1",0.44
"2018-10-30_PC3_WT-TG",818,"R28_R1",0.6
"2018-10-30_PC3_WT-TG",818,"R29_R1",0.58
"2018-10-30_PC3_WT-TG",818,"R30_R1",0.5
"2018-10-30_PC3_WT-TG",818,"R31_R1",0.45
"2018-10-30_PC3_WT-TG",818,"R32_R1",0.43
"2018-10-30_PC3_WT-TG",818,"R33_R1",0.45
"2018-10-30_PC3_WT-TG",818,"R34_R1",0.42
"2018-10-30_PC3_WT-TG",818,"R35_R1",0.41
"2018-10-30_PC3_WT-TG",818,"R36_R1",0.41
"2018-10-30_PC3_WT-TG",818,"R37_R1",0.44
"2018-10-30_PC3_WT-TG",818,"R38_R1",0.41
"2018-10-30_PC3_WT-TG",818,"R39_R1",0.42
"2018-10-30_PC3_WT-TG",823,"R2_R1",0.58
"2018-10-30_PC3_WT-TG",823,"R3_R1",0.46
"2018-10-30_PC3_WT-TG",823,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",823,"R5_R1",0.46
"2018-10-30_PC3_WT-TG",823,"R6_R1",0.45
"2018-10-30_PC3_WT-TG",823,"R7_R1",0.58
"2018-10-30_PC3_WT-TG",823,"R8_R1",0.64
"2018-10-30_PC3_WT-TG",823,"R9_R1",0.46
"2018-10-30_PC3_WT-TG",823,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",823,"R11_R1",0.42
"2018-10-30_PC3_WT-TG",823,"R12_R1",0.48
"2018-10-30_PC3_WT-TG",823,"R13_R1",0.53
"2018-10-30_PC3_WT-TG",823,"R14_R1",0.43
"2018-10-30_PC3_WT-TG",823,"R15_R1",0.43
"2018-10-30_PC3_WT-TG",823,"R16_R1",0.43
"2018-10-30_PC3_WT-TG",823,"R17_R1",0.43
"2018-10-30_PC3_WT-TG",823,"R18_R1",0.51
"2018-10-30_PC3_WT-TG",823,"R19_R1",0.42
"2018-10-30_PC3_WT-TG",823,"R20_R1",0.45
"2018-10-30_PC3_WT-TG",823,"R21_R1",0.45
"2018-10-30_PC3_WT-TG",823,"R22_R1",0.45
"2018-10-30_PC3_WT-TG",823,"R23_R1",0.44
"2018-10-30_PC3_WT-TG",823,"R24_R1",0.44
"2018-10-30_PC3_WT-TG",823,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",823,"R26_R1",0.46
"2018-10-30_PC3_WT-TG",823,"R27_R1",0.47
"2018-10-30_PC3_WT-TG",823,"R28_R1",0.71
"2018-10-30_PC3_WT-TG",823,"R29_R1",0.68
"2018-10-30_PC3_WT-TG",823,"R30_R1",0.61
"2018-10-30_PC3_WT-TG",823,"R31_R1",0.47
"2018-10-30_PC3_WT-TG",823,"R32_R1",0.44
"2018-10-30_PC3_WT-TG",823,"R33_R1",0.48
"2018-10-30_PC3_WT-TG",823,"R34_R1",0.45
"2018-10-30_PC3_WT-TG",823,"R35_R1",0.46
"2018-10-30_PC3_WT-TG",823,"R36_R1",0.43
"2018-10-30_PC3_WT-TG",823,"R37_R1",0.78
"2018-10-30_PC3_WT-TG",823,"R38_R1",0.5
"2018-10-30_PC3_WT-TG",823,"R39_R1",0.68
"2018-10-30_PC3_WT-TG",828,"R2_R1",0.51
"2018-10-30_PC3_WT-TG",828,"R3_R1",0.44
"2018-10-30_PC3_WT-TG",828,"R4_R1",0.45
"2018-10-30_PC3_WT-TG",828,"R5_R1",0.45
"2018-10-30_PC3_WT-TG",828,"R6_R1",0.44
"2018-10-30_PC3_WT-TG",828,"R7_R1",0.44
"2018-10-30_PC3_WT-TG",828,"R8_R1",0.45
"2018-10-30_PC3_WT-TG",828,"R9_R1",0.45
"2018-10-30_PC3_WT-TG",828,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R11_R1",0.41
"2018-10-30_PC3_WT-TG",828,"R12_R1",0.43
"2018-10-30_PC3_WT-TG",828,"R13_R1",0.45
"2018-10-30_PC3_WT-TG",828,"R14_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R15_R1",0.41
"2018-10-30_PC3_WT-TG",828,"R16_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R17_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R18_R1",0.45
"2018-10-30_PC3_WT-TG",828,"R19_R1",0.41
"2018-10-30_PC3_WT-TG",828,"R20_R1",0.43
"2018-10-30_PC3_WT-TG",828,"R21_R1",0.43
"2018-10-30_PC3_WT-TG",828,"R22_R1",0.44
"2018-10-30_PC3_WT-TG",828,"R23_R1",0.43
"2018-10-30_PC3_WT-TG",828,"R24_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",828,"R26_R1",0.46
"2018-10-30_PC3_WT-TG",828,"R27_R1",0.45
"2018-10-30_PC3_WT-TG",828,"R28_R1",0.72
"2018-10-30_PC3_WT-TG",828,"R29_R1",0.61
"2018-10-30_PC3_WT-TG",828,"R30_R1",0.54
"2018-10-30_PC3_WT-TG",828,"R31_R1",0.46
"2018-10-30_PC3_WT-TG",828,"R32_R1",0.44
"2018-10-30_PC3_WT-TG",828,"R33_R1",0.5
"2018-10-30_PC3_WT-TG",828,"R34_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R35_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R36_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R37_R1",0.54
"2018-10-30_PC3_WT-TG",828,"R38_R1",0.42
"2018-10-30_PC3_WT-TG",828,"R39_R1",0.56
"2018-10-30_PC3_WT-TG",833,"R2_R1",0.75
"2018-10-30_PC3_WT-TG",833,"R3_R1",0.48
"2018-10-30_PC3_WT-TG",833,"R4_R1",0.47
"2018-10-30_PC3_WT-TG",833,"R5_R1",0.46
"2018-10-30_PC3_WT-TG",833,"R6_R1",0.47
"2018-10-30_PC3_WT-TG",833,"R7_R1",0.82
"2018-10-30_PC3_WT-TG",833,"R8_R1",0.54
"2018-10-30_PC3_WT-TG",833,"R9_R1",0.48
"2018-10-30_PC3_WT-TG",833,"R10_R1",0.43
"2018-10-30_PC3_WT-TG",833,"R11_R1",0.43
"2018-10-30_PC3_WT-TG",833,"R12_R1",0.57
"2018-10-30_PC3_WT-TG",833,"R13_R1",0.59
"2018-10-30_PC3_WT-TG",833,"R14_R1",0.44
"2018-10-30_PC3_WT-TG",833,"R15_R1",0.45
"2018-10-30_PC3_WT-TG",833,"R16_R1",0.44
"2018-10-30_PC3_WT-TG",833,"R17_R1",0.45
"2018-10-30_PC3_WT-TG",833,"R18_R1",0.57
"2018-10-30_PC3_WT-TG",833,"R19_R1",0.44
"2018-10-30_PC3_WT-TG",833,"R20_R1",0.49
"2018-10-30_PC3_WT-TG",833,"R21_R1",0.51
"2018-10-30_PC3_WT-TG",833,"R22_R1",0.47
"2018-10-30_PC3_WT-TG",833,"R23_R1",0.46
"2018-10-30_PC3_WT-TG",833,"R24_R1",0.45
"2018-10-30_PC3_WT-TG",833,"R25_R1",0.46
"2018-10-30_PC3_WT-TG",833,"R26_R1",0.49
"2018-10-30_PC3_WT-TG",833,"R27_R1",0.48
"2018-10-30_PC3_WT-TG",833,"R28_R1",0.92
"2018-10-30_PC3_WT-TG",833,"R29_R1",0.93
"2018-10-30_PC3_WT-TG",833,"R30_R1",0.59
"2018-10-30_PC3_WT-TG",833,"R31_R1",0.48
"2018-10-30_PC3_WT-TG",833,"R32_R1",0.45
"2018-10-30_PC3_WT-TG",833,"R33_R1",0.63
"2018-10-30_PC3_WT-TG",833,"R34_R1",0.49
"2018-10-30_PC3_WT-TG",833,"R35_R1",0.58
"2018-10-30_PC3_WT-TG",833,"R36_R1",0.44
"2018-10-30_PC3_WT-TG",833,"R37_R1",0.71
"2018-10-30_PC3_WT-TG",833,"R38_R1",0.56
"2018-10-30_PC3_WT-TG",833,"R39_R1",0.78
"2018-10-30_PC3_WT-TG",838,"R2_R1",0.64
"2018-10-30_PC3_WT-TG",838,"R3_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",838,"R5_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R6_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R7_R1",0.48
"2018-10-30_PC3_WT-TG",838,"R8_R1",0.59
"2018-10-30_PC3_WT-TG",838,"R9_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",838,"R11_R1",0.42
"2018-10-30_PC3_WT-TG",838,"R12_R1",0.48
"2018-10-30_PC3_WT-TG",838,"R13_R1",0.48
"2018-10-30_PC3_WT-TG",838,"R14_R1",0.43
"2018-10-30_PC3_WT-TG",838,"R15_R1",0.43
"2018-10-30_PC3_WT-TG",838,"R16_R1",0.43
"2018-10-30_PC3_WT-TG",838,"R17_R1",0.43
"2018-10-30_PC3_WT-TG",838,"R18_R1",0.46
"2018-10-30_PC3_WT-TG",838,"R19_R1",0.42
"2018-10-30_PC3_WT-TG",838,"R20_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R21_R1",0.46
"2018-10-30_PC3_WT-TG",838,"R22_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R23_R1",0.44
"2018-10-30_PC3_WT-TG",838,"R24_R1",0.44
"2018-10-30_PC3_WT-TG",838,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R26_R1",0.47
"2018-10-30_PC3_WT-TG",838,"R27_R1",0.46
"2018-10-30_PC3_WT-TG",838,"R28_R1",0.8
"2018-10-30_PC3_WT-TG",838,"R29_R1",0.64
"2018-10-30_PC3_WT-TG",838,"R30_R1",0.56
"2018-10-30_PC3_WT-TG",838,"R31_R1",0.46
"2018-10-30_PC3_WT-TG",838,"R32_R1",0.43
"2018-10-30_PC3_WT-TG",838,"R33_R1",0.51
"2018-10-30_PC3_WT-TG",838,"R34_R1",0.44
"2018-10-30_PC3_WT-TG",838,"R35_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R36_R1",0.43
"2018-10-30_PC3_WT-TG",838,"R37_R1",0.61
"2018-10-30_PC3_WT-TG",838,"R38_R1",0.45
"2018-10-30_PC3_WT-TG",838,"R39_R1",0.56
"2018-10-30_PC3_WT-TG",843,"R2_R1",0.62
"2018-10-30_PC3_WT-TG",843,"R3_R1",0.46
"2018-10-30_PC3_WT-TG",843,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",843,"R5_R1",0.46
"2018-10-30_PC3_WT-TG",843,"R6_R1",0.44
"2018-10-30_PC3_WT-TG",843,"R7_R1",0.47
"2018-10-30_PC3_WT-TG",843,"R8_R1",0.5
"2018-10-30_PC3_WT-TG",843,"R9_R1",0.45
"2018-10-30_PC3_WT-TG",843,"R10_R1",0.43
"2018-10-30_PC3_WT-TG",843,"R11_R1",0.42
"2018-10-30_PC3_WT-TG",843,"R12_R1",0.46
"2018-10-30_PC3_WT-TG",843,"R13_R1",0.51
"2018-10-30_PC3_WT-TG",843,"R14_R1",0.43
"2018-10-30_PC3_WT-TG",843,"R15_R1",0.42
"2018-10-30_PC3_WT-TG",843,"R16_R1",0.43
"2018-10-30_PC3_WT-TG",843,"R17_R1",0.43
"2018-10-30_PC3_WT-TG",843,"R18_R1",0.47
"2018-10-30_PC3_WT-TG",843,"R19_R1",0.42
"2018-10-30_PC3_WT-TG",843,"R20_R1",0.45
"2018-10-30_PC3_WT-TG",843,"R21_R1",0.45
"2018-10-30_PC3_WT-TG",843,"R22_R1",0.46
"2018-10-30_PC3_WT-TG",843,"R23_R1",0.44
"2018-10-30_PC3_WT-TG",843,"R24_R1",0.44
"2018-10-30_PC3_WT-TG",843,"R25_R1",0.46
"2018-10-30_PC3_WT-TG",843,"R26_R1",0.47
"2018-10-30_PC3_WT-TG",843,"R27_R1",0.46
"2018-10-30_PC3_WT-TG",843,"R28_R1",0.67
"2018-10-30_PC3_WT-TG",843,"R29_R1",0.67
"2018-10-30_PC3_WT-TG",843,"R30_R1",0.74
"2018-10-30_PC3_WT-TG",843,"R31_R1",0.47
"2018-10-30_PC3_WT-TG",843,"R32_R1",0.44
"2018-10-30_PC3_WT-TG",843,"R33_R1",0.52
"2018-10-30_PC3_WT-TG",843,"R34_R1",0.44
"2018-10-30_PC3_WT-TG",843,"R35_R1",0.45
"2018-10-30_PC3_WT-TG",843,"R36_R1",0.43
"2018-10-30_PC3_WT-TG",843,"R37_R1",0.61
"2018-10-30_PC3_WT-TG",843,"R38_R1",0.45
"2018-10-30_PC3_WT-TG",843,"R39_R1",0.54
"2018-10-30_PC3_WT-TG",848,"R2_R1",0.51
"2018-10-30_PC3_WT-TG",848,"R3_R1",0.44
"2018-10-30_PC3_WT-TG",848,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",848,"R5_R1",0.45
"2018-10-30_PC3_WT-TG",848,"R6_R1",0.53
"2018-10-30_PC3_WT-TG",848,"R7_R1",0.49
"2018-10-30_PC3_WT-TG",848,"R8_R1",0.49
"2018-10-30_PC3_WT-TG",848,"R9_R1",0.45
"2018-10-30_PC3_WT-TG",848,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",848,"R11_R1",0.42
"2018-10-30_PC3_WT-TG",848,"R12_R1",0.46
"2018-10-30_PC3_WT-TG",848,"R13_R1",0.46
"2018-10-30_PC3_WT-TG",848,"R14_R1",0.43
"2018-10-30_PC3_WT-TG",848,"R15_R1",0.42
"2018-10-30_PC3_WT-TG",848,"R16_R1",0.42
"2018-10-30_PC3_WT-TG",848,"R17_R1",0.43
"2018-10-30_PC3_WT-TG",848,"R18_R1",0.47
"2018-10-30_PC3_WT-TG",848,"R19_R1",0.41
"2018-10-30_PC3_WT-TG",848,"R20_R1",0.43
"2018-10-30_PC3_WT-TG",848,"R21_R1",0.47
"2018-10-30_PC3_WT-TG",848,"R22_R1",0.44
"2018-10-30_PC3_WT-TG",848,"R23_R1",0.43
"2018-10-30_PC3_WT-TG",848,"R24_R1",0.43
"2018-10-30_PC3_WT-TG",848,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",848,"R26_R1",0.46
"2018-10-30_PC3_WT-TG",848,"R27_R1",0.44
"2018-10-30_PC3_WT-TG",848,"R28_R1",0.66
"2018-10-30_PC3_WT-TG",848,"R29_R1",0.64
"2018-10-30_PC3_WT-TG",848,"R30_R1",0.52
"2018-10-30_PC3_WT-TG",848,"R31_R1",0.46
"2018-10-30_PC3_WT-TG",848,"R32_R1",0.43
"2018-10-30_PC3_WT-TG",848,"R33_R1",0.6
"2018-10-30_PC3_WT-TG",848,"R34_R1",0.43
"2018-10-30_PC3_WT-TG",848,"R35_R1",0.43
"2018-10-30_PC3_WT-TG",848,"R36_R1",0.42
"2018-10-30_PC3_WT-TG",848,"R37_R1",0.52
"2018-10-30_PC3_WT-TG",848,"R38_R1",0.45
"2018-10-30_PC3_WT-TG",848,"R39_R1",0.49
"2018-10-30_PC3_WT-TG",853,"R2_R1",0.87
"2018-10-30_PC3_WT-TG",853,"R3_R1",0.45
"2018-10-30_PC3_WT-TG",853,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",853,"R5_R1",0.45
"2018-10-30_PC3_WT-TG",853,"R6_R1",0.44
"2018-10-30_PC3_WT-TG",853,"R7_R1",0.46
"2018-10-30_PC3_WT-TG",853,"R8_R1",0.49
"2018-10-30_PC3_WT-TG",853,"R9_R1",0.45
"2018-10-30_PC3_WT-TG",853,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",853,"R11_R1",0.42
"2018-10-30_PC3_WT-TG",853,"R12_R1",0.44
"2018-10-30_PC3_WT-TG",853,"R13_R1",0.45
"2018-10-30_PC3_WT-TG",853,"R14_R1",0.43
"2018-10-30_PC3_WT-TG",853,"R15_R1",0.41
"2018-10-30_PC3_WT-TG",853,"R16_R1",0.43
"2018-10-30_PC3_WT-TG",853,"R17_R1",0.43
"2018-10-30_PC3_WT-TG",853,"R18_R1",0.47
"2018-10-30_PC3_WT-TG",853,"R19_R1",0.42
"2018-10-30_PC3_WT-TG",853,"R20_R1",0.44
"2018-10-30_PC3_WT-TG",853,"R21_R1",0.42
"2018-10-30_PC3_WT-TG",853,"R22_R1",0.45
"2018-10-30_PC3_WT-TG",853,"R23_R1",0.44
"2018-10-30_PC3_WT-TG",853,"R24_R1",0.43
"2018-10-30_PC3_WT-TG",853,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",853,"R26_R1",0.46
"2018-10-30_PC3_WT-TG",853,"R27_R1",0.45
"2018-10-30_PC3_WT-TG",853,"R28_R1",0.63
"2018-10-30_PC3_WT-TG",853,"R29_R1",0.63
"2018-10-30_PC3_WT-TG",853,"R30_R1",0.59
"2018-10-30_PC3_WT-TG",853,"R31_R1",0.46
"2018-10-30_PC3_WT-TG",853,"R32_R1",0.44
"2018-10-30_PC3_WT-TG",853,"R33_R1",0.51
"2018-10-30_PC3_WT-TG",853,"R34_R1",0.48
"2018-10-30_PC3_WT-TG",853,"R35_R1",0.43
"2018-10-30_PC3_WT-TG",853,"R36_R1",0.43
"2018-10-30_PC3_WT-TG",853,"R37_R1",0.66
"2018-10-30_PC3_WT-TG",853,"R38_R1",0.47
"2018-10-30_PC3_WT-TG",853,"R39_R1",0.51
"2018-10-30_PC3_WT-TG",858,"R2_R1",0.58
"2018-10-30_PC3_WT-TG",858,"R3_R1",0.47
"2018-10-30_PC3_WT-TG",858,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",858,"R5_R1",0.46
"2018-10-30_PC3_WT-TG",858,"R6_R1",0.45
"2018-10-30_PC3_WT-TG",858,"R7_R1",0.51
"2018-10-30_PC3_WT-TG",858,"R8_R1",0.49
"2018-10-30_PC3_WT-TG",858,"R9_R1",0.46
"2018-10-30_PC3_WT-TG",858,"R10_R1",0.43
"2018-10-30_PC3_WT-TG",858,"R11_R1",0.43
"2018-10-30_PC3_WT-TG",858,"R12_R1",0.49
"2018-10-30_PC3_WT-TG",858,"R13_R1",0.49
"2018-10-30_PC3_WT-TG",858,"R14_R1",0.43
"2018-10-30_PC3_WT-TG",858,"R15_R1",0.43
"2018-10-30_PC3_WT-TG",858,"R16_R1",0.43
"2018-10-30_PC3_WT-TG",858,"R17_R1",0.44
"2018-10-30_PC3_WT-TG",858,"R18_R1",0.48
"2018-10-30_PC3_WT-TG",858,"R19_R1",0.43
"2018-10-30_PC3_WT-TG",858,"R20_R1",0.46
"2018-10-30_PC3_WT-TG",858,"R21_R1",0.45
"2018-10-30_PC3_WT-TG",858,"R22_R1",0.46
"2018-10-30_PC3_WT-TG",858,"R23_R1",0.45
"2018-10-30_PC3_WT-TG",858,"R24_R1",0.44
"2018-10-30_PC3_WT-TG",858,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",858,"R26_R1",0.48
"2018-10-30_PC3_WT-TG",858,"R27_R1",0.46
"2018-10-30_PC3_WT-TG",858,"R28_R1",0.76
"2018-10-30_PC3_WT-TG",858,"R29_R1",0.83
"2018-10-30_PC3_WT-TG",858,"R30_R1",0.72
"2018-10-30_PC3_WT-TG",858,"R31_R1",0.47
"2018-10-30_PC3_WT-TG",858,"R32_R1",0.45
"2018-10-30_PC3_WT-TG",858,"R33_R1",0.52
"2018-10-30_PC3_WT-TG",858,"R34_R1",0.45
"2018-10-30_PC3_WT-TG",858,"R35_R1",0.46
"2018-10-30_PC3_WT-TG",858,"R36_R1",0.44
"2018-10-30_PC3_WT-TG",858,"R37_R1",0.7
"2018-10-30_PC3_WT-TG",858,"R38_R1",0.48
"2018-10-30_PC3_WT-TG",858,"R39_R1",0.68
"2018-10-30_PC3_WT-TG",863,"R2_R1",0.65
"2018-10-30_PC3_WT-TG",863,"R3_R1",0.47
"2018-10-30_PC3_WT-TG",863,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",863,"R5_R1",0.46
"2018-10-30_PC3_WT-TG",863,"R6_R1",0.45
"2018-10-30_PC3_WT-TG",863,"R7_R1",0.5
"2018-10-30_PC3_WT-TG",863,"R8_R1",0.53
"2018-10-30_PC3_WT-TG",863,"R9_R1",0.46
"2018-10-30_PC3_WT-TG",863,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",863,"R11_R1",0.43
"2018-10-30_PC3_WT-TG",863,"R12_R1",0.57
"2018-10-30_PC3_WT-TG",863,"R13_R1",0.53
"2018-10-30_PC3_WT-TG",863,"R14_R1",0.43
"2018-10-30_PC3_WT-TG",863,"R15_R1",0.43
"2018-10-30_PC3_WT-TG",863,"R16_R1",0.43
"2018-10-30_PC3_WT-TG",863,"R17_R1",0.43
"2018-10-30_PC3_WT-TG",863,"R18_R1",0.48
"2018-10-30_PC3_WT-TG",863,"R19_R1",0.42
"2018-10-30_PC3_WT-TG",863,"R20_R1",0.45
"2018-10-30_PC3_WT-TG",863,"R21_R1",0.48
"2018-10-30_PC3_WT-TG",863,"R22_R1",0.46
"2018-10-30_PC3_WT-TG",863,"R23_R1",0.45
"2018-10-30_PC3_WT-TG",863,"R24_R1",0.44
"2018-10-30_PC3_WT-TG",863,"R25_R1",0.46
"2018-10-30_PC3_WT-TG",863,"R26_R1",0.48
"2018-10-30_PC3_WT-TG",863,"R27_R1",0.47
"2018-10-30_PC3_WT-TG",863,"R28_R1",0.71
"2018-10-30_PC3_WT-TG",863,"R29_R1",0.79
"2018-10-30_PC3_WT-TG",863,"R30_R1",0.61
"2018-10-30_PC3_WT-TG",863,"R31_R1",0.47
"2018-10-30_PC3_WT-TG",863,"R32_R1",0.45
"2018-10-30_PC3_WT-TG",863,"R33_R1",0.58
"2018-10-30_PC3_WT-TG",863,"R34_R1",0.47
"2018-10-30_PC3_WT-TG",863,"R35_R1",0.44
"2018-10-30_PC3_WT-TG",863,"R36_R1",0.44
"2018-10-30_PC3_WT-TG",863,"R37_R1",0.6
"2018-10-30_PC3_WT-TG",863,"R38_R1",0.57
"2018-10-30_PC3_WT-TG",863,"R39_R1",0.67
"2018-10-30_PC3_WT-TG",868,"R2_R1",0.52
"2018-10-30_PC3_WT-TG",868,"R3_R1",0.45
"2018-10-30_PC3_WT-TG",868,"R4_R1",0.45
"2018-10-30_PC3_WT-TG",868,"R5_R1",0.45
"2018-10-30_PC3_WT-TG",868,"R6_R1",0.54
"2018-10-30_PC3_WT-TG",868,"R7_R1",0.53
"2018-10-30_PC3_WT-TG",868,"R8_R1",0.5
"2018-10-30_PC3_WT-TG",868,"R9_R1",0.45
"2018-10-30_PC3_WT-TG",868,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",868,"R11_R1",0.42
"2018-10-30_PC3_WT-TG",868,"R12_R1",0.46
"2018-10-30_PC3_WT-TG",868,"R13_R1",0.51
"2018-10-30_PC3_WT-TG",868,"R14_R1",0.42
"2018-10-30_PC3_WT-TG",868,"R15_R1",0.41
"2018-10-30_PC3_WT-TG",868,"R16_R1",0.42
"2018-10-30_PC3_WT-TG",868,"R17_R1",0.43
"2018-10-30_PC3_WT-TG",868,"R18_R1",0.53
"2018-10-30_PC3_WT-TG",868,"R19_R1",0.42
"2018-10-30_PC3_WT-TG",868,"R20_R1",0.44
"2018-10-30_PC3_WT-TG",868,"R21_R1",0.43
"2018-10-30_PC3_WT-TG",868,"R22_R1",0.44
"2018-10-30_PC3_WT-TG",868,"R23_R1",0.44
"2018-10-30_PC3_WT-TG",868,"R24_R1",0.42
"2018-10-30_PC3_WT-TG",868,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",868,"R26_R1",0.47
"2018-10-30_PC3_WT-TG",868,"R27_R1",0.45
"2018-10-30_PC3_WT-TG",868,"R28_R1",0.71
"2018-10-30_PC3_WT-TG",868,"R29_R1",0.63
"2018-10-30_PC3_WT-TG",868,"R30_R1",0.58
"2018-10-30_PC3_WT-TG",868,"R31_R1",0.46
"2018-10-30_PC3_WT-TG",868,"R32_R1",0.43
"2018-10-30_PC3_WT-TG",868,"R33_R1",0.48
"2018-10-30_PC3_WT-TG",868,"R34_R1",0.44
"2018-10-30_PC3_WT-TG",868,"R35_R1",0.44
"2018-10-30_PC3_WT-TG",868,"R36_R1",0.43
"2018-10-30_PC3_WT-TG",868,"R37_R1",0.54
"2018-10-30_PC3_WT-TG",868,"R38_R1",0.45
"2018-10-30_PC3_WT-TG",868,"R39_R1",0.58
"2018-10-30_PC3_WT-TG",873,"R2_R1",0.7
"2018-10-30_PC3_WT-TG",873,"R3_R1",0.46
"2018-10-30_PC3_WT-TG",873,"R4_R1",0.45
"2018-10-30_PC3_WT-TG",873,"R5_R1",0.45
"2018-10-30_PC3_WT-TG",873,"R6_R1",0.44
"2018-10-30_PC3_WT-TG",873,"R7_R1",0.46
"2018-10-30_PC3_WT-TG",873,"R8_R1",0.64
"2018-10-30_PC3_WT-TG",873,"R9_R1",0.45
"2018-10-30_PC3_WT-TG",873,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",873,"R11_R1",0.42
"2018-10-30_PC3_WT-TG",873,"R12_R1",0.47
"2018-10-30_PC3_WT-TG",873,"R13_R1",0.47
"2018-10-30_PC3_WT-TG",873,"R14_R1",0.43
"2018-10-30_PC3_WT-TG",873,"R15_R1",0.42
"2018-10-30_PC3_WT-TG",873,"R16_R1",0.42
"2018-10-30_PC3_WT-TG",873,"R17_R1",0.43
"2018-10-30_PC3_WT-TG",873,"R18_R1",0.46
"2018-10-30_PC3_WT-TG",873,"R19_R1",0.41
"2018-10-30_PC3_WT-TG",873,"R20_R1",0.44
"2018-10-30_PC3_WT-TG",873,"R21_R1",0.46
"2018-10-30_PC3_WT-TG",873,"R22_R1",0.44
"2018-10-30_PC3_WT-TG",873,"R23_R1",0.44
"2018-10-30_PC3_WT-TG",873,"R24_R1",0.43
"2018-10-30_PC3_WT-TG",873,"R25_R1",0.45
"2018-10-30_PC3_WT-TG",873,"R26_R1",0.47
"2018-10-30_PC3_WT-TG",873,"R27_R1",0.45
"2018-10-30_PC3_WT-TG",873,"R28_R1",0.73
"2018-10-30_PC3_WT-TG",873,"R29_R1",0.63
"2018-10-30_PC3_WT-TG",873,"R30_R1",0.6
"2018-10-30_PC3_WT-TG",873,"R31_R1",0.46
"2018-10-30_PC3_WT-TG",873,"R32_R1",0.43
"2018-10-30_PC3_WT-TG",873,"R33_R1",0.55
"2018-10-30_PC3_WT-TG",873,"R34_R1",0.45
"2018-10-30_PC3_WT-TG",873,"R35_R1",0.43
"2018-10-30_PC3_WT-TG",873,"R36_R1",0.5
"2018-10-30_PC3_WT-TG",873,"R37_R1",0.55
"2018-10-30_PC3_WT-TG",873,"R38_R1",0.48
"2018-10-30_PC3_WT-TG",873,"R39_R1",0.55
"2018-10-30_PC3_WT-TG",878,"R2_R1",0.68
"2018-10-30_PC3_WT-TG",878,"R3_R1",0.46
"2018-10-30_PC3_WT-TG",878,"R4_R1",0.46
"2018-10-30_PC3_WT-TG",878,"R5_R1",0.46
"2018-10-30_PC3_WT-TG",878,"R6_R1",0.46
"2018-10-30_PC3_WT-TG",878,"R7_R1",0.65
"2018-10-30_PC3_WT-TG",878,"R8_R1",0.58
"2018-10-30_PC3_WT-TG",878,"R9_R1",0.48
"2018-10-30_PC3_WT-TG",878,"R10_R1",0.42
"2018-10-30_PC3_WT-TG",878,"R11_R1",0.43
"2018-10-30_PC3_WT-TG",878,"R12_R1",0.6
