"condition","Time","Sample","Value"
"2018-10-30_PC3_WT-TG",45.36,"R13_R1",0.48
"2018-10-30_PC3_WT-TG",45.36,"R14_R1",0.44
"2018-10-30_PC3_WT-TG",45.36,"R15_R1",0.45
"2018-10-30_PC3_WT-TG",45.36,"R16_R1",0.45
"2018-10-30_PC3_WT-TG",45.36,"R17_R1",0.44
"2018-10-30_PC3_WT-TG",45.36,"R18_R1",0.48
"2018-10-30_PC3_WT-TG",45.36,"R19_R1",0.43
"2018-10-30_PC3_WT-TG",45.36,"R20_R1",0.46
"2018-10-30_PC3_WT-TG",45.36,"R21_R1",0.44
"2018-10-30_PC3_WT-TG",45.36,"R22_R1",0.46
"2018-10-30_PC3_WT-TG",45.36,"R23_R1",0.46
"2018-10-30_PC3_WT-TG",45.36,"R24_R1",0.45
"2018-10-30_PC3_WT-TG",45.36,"R25_R1",0.46
"2018-10-30_PC3_WT-TG",45.36,"R26_R1",0.49
"2018-10-30_PC3_WT-TG",45.36,"R27_R1",0.47
"2018-10-30_PC3_WT-TG",45.36,"R28_R1",0.46
"2018-10-30_PC3_WT-TG",45.36,"R29_R1",0.47
"2018-10-30_PC3_WT-TG",45.36,"R30_R1",0.49
"2018-10-30_PC3_WT-TG",45.36,"R31_R1",0.48
"2018-10-30_PC3_WT-TG",45.36,"R32_R1",0.47
"2018-10-30_PC3_WT-TG",45.36,"R33_R1",0.46
"2018-10-30_PC3_WT-TG",45.36,"R34_R1",0.42
"2018-10-30_PC3_WT-TG",45.36,"R35_R1",0.42
"2018-10-30_PC3_WT-TG",45.36,"R36_R1",0.43
"2018-10-30_PC3_WT-TG",45.36,"R37_R1",0.43
"2018-10-30_PC3_WT-TG",45.36,"R38_R1",0.43
"2018-10-30_PC3_WT-TG",45.36,"R39_R1",0.44
"2018-10-30_PC3_WT-TG",50.36,"R2_R1",0.56
"2018-10-30_PC3_WT-TG",50.36,"R3_R1",0.49
"2018-10-30_PC3_WT-TG",50.36,"R4_R1",0.47
